molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3683652,active,6.640164517660112,O=C(c1nn(-c2ccc(CN3CC(F)C3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,496.5640000000003,2.452700000000001,0.0,6.0
CHEMBL3683518,active,6.638272163982407,O=C(c1nn(-c2ccc(CN3CCC(F)(F)CC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,542.6080000000001,3.5301000000000027,0.0,6.0
CHEMBL3678652,active,6.607303046740334,O=C(c1nn(-c2ccc(CN3CCC(F)CC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,524.6180000000003,3.2329000000000025,0.0,6.0
CHEMBL3678712,active,6.066006836168758,O=C(c1nn(-c2ccc(CN3CCC(O)C3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,508.60000000000036,1.8656000000000004,1.0,7.0
CHEMBL3683519,active,6.449771646944906,O=C(c1nn(-c2ccc(CN3CCCC(F)(F)C3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,542.6080000000001,3.5301000000000027,0.0,6.0
CHEMBL3678713,active,6.54515513999149,O=C(c1nn(-c2ccc(CN3CCCC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,492.6010000000003,2.894800000000002,0.0,6.0
CHEMBL3678654,active,6.958607314841775,O=C(c1nn(-c2ccc(CN3CCCCC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,506.62800000000027,3.284900000000002,0.0,6.0
CHEMBL3683501,active,6.431798275933005,O=C(c1nn(-c2ccc(CN3CCCCC3)nc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,507.61600000000027,2.679900000000001,0.0,7.0
CHEMBL3683575,active,6.459670525209126,O=C(c1nn(-c2ccc(CN3CCOCC3)cc2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,526.5900000000001,2.2703000000000007,0.0,7.0
CHEMBL3683619,active,6.694648630553377,O=C(c1nn(-c2ccc(CN3CCOCC3)cc2)c2c1CS(=O)(=O)c1cc(F)ccc1-2)N1CCOCC1,526.5900000000001,2.2703000000000007,0.0,7.0
CHEMBL3683620,active,6.255707016877324,O=C(c1nn(-c2ccc(CN3CCOCC3)cc2)c2c1CS(=O)(=O)c1ccc(F)cc1-2)N1CCOCC1,526.5900000000001,2.2703000000000007,0.0,7.0
CHEMBL3678622,active,6.769551078621726,O=C(c1nn(-c2ccc(CN3CCOCC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,508.6000000000003,2.1312000000000006,0.0,7.0
CHEMBL3678696,active,6.3979400086720375,O=C(c1nn(-c2ccc(CN3CCOCC3)cc2)c2c1CS(=O)(=O)c1ncccc1-2)N1CCOCC1,509.5880000000003,1.5261999999999998,0.0,8.0
CHEMBL3678701,active,6.211831628858833,O=C(c1nn(-c2ccc(CN3CCOCC3)nc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,509.5880000000003,1.5261999999999996,0.0,8.0
CHEMBL3683676,active,6.649751981665837,O=C(c1nn(-c2ccc(CNC3CCCOC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,522.6270000000003,2.5676000000000005,1.0,7.0
CHEMBL3683677,active,6.806875401645538,O=C(c1nn(-c2ccc(CNC3CCOC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,508.60000000000036,2.1775,1.0,7.0
CHEMBL3683658,active,6.97061622231479,O=C(c1nn(-c2ccc(CNC3CCOCC3)cc2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,522.6270000000003,2.5676000000000005,1.0,7.0
